(epoch#1) auroc: 0.7218002161586154, lr: 0.0010000000474974513
(epoch#2) auroc: 0.771229401588618, lr: 0.0010000000474974513
(epoch#3) auroc: 0.785071134226346, lr: 0.0010000000474974513
(epoch#4) auroc: 0.7922235772131192, lr: 0.0010000000474974513
(epoch#5) auroc: 0.8029048333570866, lr: 0.0010000000474974513
(epoch#6) auroc: 0.8121377098785754, lr: 0.0010000000474974513
(epoch#9) auroc: 0.8181788969051332, lr: 0.00010000000474974513
(epoch#10) auroc: 0.8288142211377034, lr: 0.00010000000474974513
(epoch#1) auroc: 0.6403810307295209, lr: 0.0010000000474974513
(epoch#2) auroc: 0.6870320638577321, lr: 0.0010000000474974513
(epoch#3) auroc: 0.7353295151426696, lr: 0.0010000000474974513
(epoch#4) auroc: 0.7383270235517515, lr: 0.00010000000474974513
(epoch#5) auroc: 0.7654909149401771, lr: 0.00010000000474974513
(epoch#6) auroc: 0.7681902949179511, lr: 0.00010000000474974513
(epoch#7) auroc: 0.7721971987892385, lr: 0.00010000000474974513
(epoch#8) auroc: 0.7757542838159294, lr: 0.00010000000474974513
(epoch#10) auroc: 0.7799601031838961, lr: 1.0000001111620804e-06
(epoch#16) auroc: 0.7799997506466056, lr: 9.99999993922529e-09
(epoch#17) auroc: 0.780621669867757, lr: 9.99999993922529e-09
